key,code,execution,type,draft-mode,corrective-actions,mark,link,key:project,key:auditor
code-audit-01,A-000,2020/07/29 23:59,Static,false,Text,B,https://example.com/objective,project-01,auditor-01
code-audit-02,AB-555,2020/07/29 23:59,Static,false,Text,B,https://example.com/objective,project-01,auditor-01
code-audit-03,ZZZ-999,2020/07/29 23:59,Static,false,Text,B,https://example.com/objective,project-01,auditor-01
code-audit-04,A-001,2000/01/01 00:00,Static,false,Text,B,https://example.com/objective,project-01,auditor-01
code-audit-05,A-002,2000/01/01 00:01,Static,false,Text,B,https://example.com/objective,project-01,auditor-01
code-audit-06,A-003,2012/02/29 00:00,Static,false,Text,B,https://example.com/objective,project-01,auditor-01
code-audit-07,A-004,2022/07/29 23:58,Static,false,Text,B,https://example.com/objective,project-01,auditor-01
code-audit-08,A-005,2022/07/29 23:59,Static,false,Text,B,https://example.com/objective,project-01,auditor-01
code-audit-09,A-006,2020/07/29 23:59,Dynamic,false,Text,B,https://example.com/objective,project-01,auditor-01
code-audit-10,A-007,2020/07/29 23:59,Static,false,L,B,https://example.com/objective,project-01,auditor-01
code-audit-11,A-008,2020/07/29 23:59,Static,false,Li,B,https://example.com/objective,project-01,auditor-01
code-audit-12,A-009,2020/07/29 23:59,Static,false,Li Europan lingues es membres del sam familie. Lor,B,https://example.com/objective,project-01,auditor-01
code-audit-13,A-010,2020/07/29 23:59,Static,false,Li Europan lingues es membres del sam familie. Lor separat existentie es un myth. Por scientie mus,B,https://example.com/objective,project-01,auditor-01
code-audit-14,A-011,2020/07/29 23:59,Static,false,Li Europan lingues es membres del sam familie. Lor separat existentie es un myth. Por scientie music,B,https://example.com/objective,project-01,auditor-01
code-audit-15,A-012,2020/07/29 23:59,Static,false,or 'a' = 'a',B,https://example.com/objective,project-01,auditor-01
code-audit-16,A-013,2020/07/29 23:59,Static,false,<h1>hacked</h1>,B,https://example.com/objective,project-01,auditor-01
code-audit-17,A-014,2020/07/29 23:59,Static,false,АБХجحذسعف汉书من你好吗РСТУШДذرزطظآحخدشصЮЯОПРСТУكلمة美女,B,https://example.com/objective,project-01,auditor-01
code-audit-18,A-015,2020/07/29 23:59,Static,false,Text,A_PLUS,https://example.com/objective,project-01,auditor-01
code-audit-19,A-016,2020/07/29 23:59,Static,false,Text,A,https://example.com/objective,project-01,auditor-01
code-audit-20,A-017,2020/07/29 23:59,Static,false,Text,B,https://example.com/objective,project-01,auditor-01
code-audit-21,A-018,2020/07/29 23:59,Static,false,Text,C,https://example.com/objective,project-01,auditor-01
code-audit-22,A-019,2020/07/29 23:59,Static,false,Text,F,https://example.com/objective,project-01,auditor-01
code-audit-23,A-020,2020/07/29 23:59,Static,false,Text,F_MINUS,https://example.com/objective,project-01,auditor-01
code-audit-24,A-021,2020/07/29 23:59,Static,false,Text,B,,project-01,auditor-01